,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; here we go with the crystal ball predictions again.... anyways, lakers played like crap in that second quarter. once the second unit came in it ****ed up all the good things we had going and we never recovered from it. they&acute;re lucky to be tied. i can&acute;t believe we couldn&acute;t stretch the lead with yao on the bench with 3 fouls. ariza is playing like a scrub and idk why the hell luke walton is in the game at all.6 years, 30 days ago",3,,,
"&acute;&acute; i did break my knuckle cause i hit him in the head multiple times, i just want to know since my knuckle is broken, will people have the impression that i lost? it really only matters what people who were spectating the fight say. you may be the one person who&acute;s telling the fight how it actually happened, but it&acute;s your word against theirs, and numbers in high school always win. that&acute;s the side effect(s) from getting into a fight.7 years, 7 days ago",2,,,
"&acute;&acute; yeah the lead singer of the birthday massacre is said to be a candy goth. they like to wear goth skirts and striped sleeves where it looks like a candy cane. i&acute;ve dated candy goths before. i&acute;m a cyber goth. you said you never had a girlfriend >.> just because you date someone doesn&acute;t really make them your girlfriend. oh you mean it like that, i&acute;m too anti-social to &acute;date&acute; ^_^, just sounds like a waste of time too i don&acute;t go for flings.",2,,,
"[quote=&acute;loonie&acute;][quote=&acute;-karayan-&acute;][quote=&acute;-karayan-&acute;][quote=&acute;rahzel31&acute;] my reasoning is (im gonna get flamed for this) that it isnt natural to be gay its against human nature and the bible. im sorry if i have offended anyone not natural???? http://en.wikipedia.org/wiki/list_of_animals_practicing_homosexual_behavior care to comment at all? wow, homosexual insects. and to the tc, maybe he should go to the gay gamers union and ask this question. mind you, that have actually been documented. so people saw two insects going at it and checked to see if they were of the same sex.",2,,,
"[quote=&acute;fkid&acute;] but then i can flip the other way around and say that the rich are pissed that even though they worked hard to get where they are, the gov&acute;t still supports the the less unfortunate who did not try as hard. then again, it is soooooooooooooo much easier to bash the rich because simply there is more less fortuante than the rich, right? everyone who works their ass off does not automatically get rich you know. you have a very distorted view of capitalism.",3,,,
"&acute;&acute; why is it &acute;wrong&acute;? mostly just dude stuff.lol nah seriously... we cant change the way people are. so we can learn to deal with it or we can let it bother us.. i do wonder why someone just likes the same gender instead of the opposite or maybe both... that part gets me the most it&acute;s just something you&acute;re born with. people don&acute;t suddently decide &acute;lets be gay lets be shunned by society, lets become attractive to those i find icky at this moment.&acute;",1,,,
"live free or die hard is a much better movie. the bourne ultimatum is a good movie and all, but die hard was one the nicest surprises this year. it was one of the few movies this year that i left the theater thinking the movie was better than i thought it was going to be. and whats with all the camera shaking in the bourne ultimatum? i know they went for a realistic feel, but i was dizzy by the end of the movie.",1,,,
"&acute;&acute; i&acute;m not sure what you are asking. i thought it was straightforward. i dont know what gun culture is. i was pretty sure you could explain ah sorry, you said gun control at first. and gun culture itself is pretty straightforward. it is the culture surrounding guns. guns are very cherished instruments in america. there&acute;s a lot of enthusiasm surrounding gun ownership; you can join clubs with fellow gun owners, go to gun shows, ect. that glorification is not something i&acute;m very fond of.",2,,,
"&acute;&acute; so if you were in a car crash and half your guts were over the floor and the paramedics came to help you&acute;d just say &acute;no thanks&acute;? :| i have lightning fast reflexes, so the chances of that even happening are zero to none to begin with, nice try though. yeah but what if you use your &acute;lightning fast&acute; reflexes to dodge a car, but then *bam!* hit by a semi, and now you&acute;re cut in half, intestines spilled out, paramedics surround you......now what?",3,,,
"&acute;&acute; ...so what happens to the children if they don&acute;t &acute;repent&acute;? are they taken away from their parents and placed in a foster home? i&acute;m sure that would make everything better :roll:. how about, instead of exacerbating the issue, we allow divorced parents to raise their children, and we allow gay couples who are willing to be parents to adopt children that are in need of some solidarity in their life, rather than just moving from foster home to foster home.6 years, 28 days ago",3,,,
"&acute;&acute; these kind of threads really piss me off sometimes. i mean, why the hell would you care? you make it sound like you&acute;re &acute;superior&acute; in some way, just because you&acute;ve had sex. oh and fyi, there&acute;s more to relationships than just sex. thought i was the only one on gamespot who had a ******* brain. paparazzi00 is just a stupid immature spammer. you two need to loosen up! you need to open your eyes to the fact that paparazzi00 is 10 years old :|",3,,,
"&acute;&acute; well i&acute;m an agnostic. i personally believe that when you die you go to a unified afterlife, if that makes sense. i don&acute;t believe in a &acute;heaven&acute; or &acute;hell&acute; just a place where everyone goes when they die. there is so much evidence out there to support and afterlife but not enough to say what it is or what its like. what evidence do you speak of? i, personally, don&acute;t worry about what happens after death because there is no way of knowing.",2,,,
"&acute;&acute; what about you? would you brave the elements, or use your wits to save micah? hmmm, if i were living for only myself, i think i may die...but knowing that i&acute;d be doing it for my son can give someone incredible strength and determination. once you&acute;re living for someone or trying to save someone you love, human beings can become unstoppable machines. so, if it were for my son or someone i love, i&acute;d die trying...no matter what torture i was put through.",1,,,
"&acute;&acute; i&acute;ll protect you!!!!!!!! *stands in front of _marisa_ with rusty knife* ^_^ *stands in front of steppin with a spiked d!ldo* :d it&acute;s official. kratos, steppin, and marisa, are the kinkiest oters. :oops:8) let&acute;s not forget our sexified tomxizor :d with our powers combined, we shall conquer the world!!!! they&acute;ll be so sore, they won&acute;t be able to sit down for weeks ^_^ if i were a guy, i&acute;d be gay just so i could sex you up :d8 years, 18 days ago",2,,,
"&acute;&acute; well if hamas and islamic/political extremists backed down and topped firing rockets at israel... hamas keeps saying &acute;we&acute;re fighting back because israel attacked us&acute; but they&acute;re fogetting that they fired first. they, the hamas, are attacking for a reason, they lost 90% of their land and that&acute;s being &acute;active&acute;. that&acute;s why they &acute;shoot rockets&acute;. as an analogy, if you stole money from me but i reacted by hitting you, it would not give you the right to hit me and steal me again.",2,,,
"i don&acute;t pay them any attention. they&acute;re being paid to be there. they don&acute;t care about anything that happens there. smile, look pretty for the camera. i had one at a convention i went to try to sell me a calender or something with pictures of her in it. like, she wanted me to pay money to have a calender with pictures of her in it. fuck that, porn is free on the tubes. and if i want women to pretend to be interes",3,,,
"you know what i hate? i hate how whoever is doing the report, asks the person for a photo but to &acute;give us a pose to show what you went thru and how you felt&acute; (or something along the line ) amd_alexa_gonzalez.jpg picture by scallywag66 the hell did they ask her to pose like that for? that&acute;s a stupid picture in any event, i dont think it was worth arresting here, but you know, sometimes they have to make an example out of somebody.",3,,,
"well just went ahead an ordered a 320 gb hard drive for my xbox 360 should be better now, since i&acute;ll have memory for my xbox 360 i can use got it for $100 would of bought the 250 gb but it was like nearly $90 so another $10 for a 320 wouldn&acute;t hurt and went with that. and looks like i&acute;m at level 42 should of reached the level few days ago though, anyway 8 more to go till i hit level 50.",2,,,
"depends on what you&acute;re playing. if you&acute;re doing high school musical and kirby, then yeah. however, final fantasy iv/iii, contra 4, castlevania:dawn of sorrow/order of ecclesia/portrait of ruin, the phoenix wright games, chrono trigger, ketsui death label and a lot more will statisfy your hardcore needs. fire emblem: shadow dragon is out soon. psp has some good games on it, but not enough compared to the ds. sure, locoroco, mgs:po, ffvii:cc and a couple others are interesting, but not enough to justify a purchase.",2,,,
"&acute;&acute; yeah outside of eustice or whatever his name is i thought was kind of annoying, someone i probably would of hit for talking and complaining too much. but have loved the soundtracks to all the movies as well as the story though. and i think i heard if they do a 4th one it might be the silver chair or the magician&acute;s nephew not sure on that or if they will. just watched that recently as well then watched the dark knight after.",2,,,
"&acute;&acute; wack!!!!!!!!!!!!!!!! the beat is horrible and so are his &acute;rhymes&acute; the earth is a space ship goin round and round? that is wack. compare it to &acute;it was a good day&acute; by ice cube. &acute;plus nobody got killed in south central la/ i gotta say it was a good day&acute; ice cube is way better and has a better beat and flow. and he doesn&acute;t look like a p****. you&acute;re probably gonig to hell now, just so you know.8 years, 11 days ago",3,,,
"&acute;&acute; are you gonna get last remanent for 360? i know you want it dude. i dont see how you could play that along w/ tos2 though... if i have to, i will rob a game stop at gun point for that game.... no, not really :p, but i do want it, badly. if ive managed to juggle all those games im pretty sur i can juggle the last remnant and tos2.... or ill just play tlr and shut out every other game ;).",1,,,
"&acute;&acute; i actually disagree with that notion. if he wants to continue to take risks such as rango, depp will need surefire things to put money in the bank. pirates is that golden ticket. but depp is already crazy rich. his personal net worth is around $200 million. he doesn&acute;t have to work another day in his life if he doesn&acute;t want to. there&acute;s no reason for him to be complicit in the continuation of the pirates franchise. i say let it die already.",3,,,
"im 15 and the problems i have had w/ the parents is that getting xbox live is gonna give the computer viruses( i dont know where they got that. my dad thinks hes smart w/ computer stuff, but he&acute;s not) and the only other thing is that they think that i waste my money and stuff but once i get my job started bac up during the fall im gonna be buyin a wii and a lot of games so i dont really care.",3,,,
"i&acute;ve been in the beta since day one but i&acute;m not sold on cod world at war. it doesn&acute;t feel as polished as cod4, and i have issues with the hit detection and balance of weapons. it just doesn&acute;t click with me like cod4 did. i&acute;ll stick with cod4. i&acute;m also surprised that to me cod4 looks better. not getting cod world at war, will play left 4 dead and gears 2 online until cod6 lands, that will be the true sequel to cod4.",3,,,
"probably an open world game you that you can play as a dragon and fight other dragons and creatures and be able to customize the dragon and select different elements like darkness, light, water, wind, fire earth, electricity and others. maybe add a telekinetic dragon in. and would like a 3d zoids fighting game like battle legends, also want a legend of spyro hd trilogy that and more games you can play as a dinosaur would be nice. and maybe more space exploration/battle games",2,,,
"&acute;&acute; i guess by that logic it doesn&acute;t matter how you feel about him veto&acute;ing it. no because support for the gay marriage is the right thing. but you can keep on using the economy as the reason why you&acute;re against it. we&acute;ll buy it. ^_^ funnily enough, based on a study done by ucla, legalizing gay marriage in new jersey would create 1,400 jobs and generate over 15 million dollars in tax revenue. so there are really no excuses.3 years, 2 days ago",1,,,
"&acute;&acute; yep, noticed it while watching the psn version. did anybody notice how the masked person on meryl&acute;s team wasn&acute;t affected like everyone else? i wonder who the hell that is. olga&acute;s child??? edit/maybe not olga&acute;s child though. how many years after shadow moses did the big shell incident take place? in this newest trailer naomi says to snake &acute;9 years ago at shadow moses, i injected you with foxdie&acute; was olga&acute;s childs age revealed during mgs2? who knows.. my immediate guess was raiden.",2,,,
"lots and lots of weapons, balanced upgrades, a good ranking system, good multiplayer and single player, a real story (meaning a good one that makes alot of sense and loveable characters), good physics, good hit registration, an amazing atmosphere, several multiplayer modes, server browser, real weapon sounds, cool weapon sounds, creativity and detail in level design, decent system requrements!!!!!, simple and easy controls, good ambient sounds, easy to access cheats for single player only, a long single player campaign, a good anti cheat system.",1,,,
"lots and lots of weapons, balanced upgrades, a good ranking system, good multiplayer and single player, a real story (meaning a good one that makes alot of sense and loveable characters), good physics, good hit registration, an amazing atmosphere, several multiplayer modes, server browser, real weapon sounds, cool weapon sounds, creativity and detail in level design, decent system requrements!!!!!, simple and easy controls, good ambient sounds, easy to access cheats for single player only, a long single player campaign, a good anti cheat system.",1,,,
"you can always spot people who don&acute;t follow politics very much. bills like these are introduced all the time. they never get passed in their original form, if they make it through at all. i would be surprised if this proposal didn&acute;t die on the floor. if it makes it through, it&acute;ll be only for extreme cases, such as dangerous animals (like, i dunno people that own a monkey that rips off their friend&acute;s face... stuff like that.) deep breath. it&acute;s gonna be okay.",1,,,
"i just left a dom match because it pissed me off and reminded me i missed a point in the list i made in this topic. terrible spawn points i put a care package down in an area we owned, 4 guys, maybe more spawned right behind me, swarmed on me, killed me and took my package. i respawned, put down a sentry gun (i use hardline pro so i can change it) and what happens? same thing as before. very very frustrating game.",3,,,
"&acute;&acute; no, actually, it doesn&acute;t save money. millions of dollars are wasted on the judicial processes before they&acute;re sentenced to death, and then that&acute;s topped off by the fact that they sit on death row for years in prison before they are actually executed. and honestly, if i had to live in a prison for the rest of my life, i&acute;d much rather die than rot away in there for years before i either get killed by an inmate, or die of old age.",3,,,
"&acute;&acute; yea, true. just no telling how long it will actually be before such a patch comes out. i can understand your frustration though dude. sh*t like that buggs the hell out of me. i figure ill wait till probably monday, if not bestbuy i go. and yeah. like i just want to play lmao. both are such great games when they work. i know right? it&acute;s like f*ck, i&acute;m not trying to take over the world. i just wanna play my goddamn game.",3,,,
"&acute;&acute; did you really just say that a wwi game would have an ak-47? a gun that wasnt actually out untill like 1950? the ak-47 first entered service in 1947 in the soviet union, hence the name. now as to his suggestion of the m-16 would also be folly as it didn&acute;t enter service until the vietnam war. actually the 47 in ak-47 refers to its first accepted prototype year, i may be off with the 1950 but the gun didnt enter service in",2,,,
"has any one else been the victim of this, i was playing a game and saw some one charge up to me (rodey ruining) and i thought &acute;idiot:p&acute; and took out my shot gun and started shooting he got about 5 feet away and i blew up xd i was some what surprised. this happend several times through out the match, just wondering how often other people have come across it (btw please dont tell others how to use it, its cheating really :p)",2,,,
"&acute;&acute; let me explain this to you. you don&acute;;t know what you&acute;re talking about. the same thing we men feel about men on women is the exact same hting you htink about men on men or women on women. you find it unnatural to us and we find it unnatural to you. and by unnatural, i mean it has nothing to do with reproducing... if gays are born that way , why we don&acute;t see gay animals too? it&acute;s a choice by human mind......",3,,,
"&acute;&acute; theeagles victory was meh at most, just shows how overrated mike shanahan and mcnub are. the only creditable wins the eagles have this year was against the colts and falcons. i honestly wanna see vick vs a real defense, lets see him out run the packers d. scoring 28 points in ten minjutes is &acute;meh&acute;? vick already wooped the packers defense ass in week 1. if he started that game the eagles would&acute;ve won. you&acute;re lucky you only seen him for one half.",3,,,
"&acute;&acute; farcry 2 is not for everyone! some might really like it but i sure as hell wasn&acute;t one of them. the first two, three hell maybe even five hours are pretty fun but then it just stays the same over and over.. and the diamond spotting is uggg dont get me started online is nothing to write home about either and the ai aren&acute;t all rocket engineers either so.. my oppinion get killzone or r2 for that matter give farcry a rent maybe.",3,,,
"&acute;&acute; i still don&acute;t see why they can&acute;t be married. they can&acute;t procreate, but even if they weren&acute;t married they couldn&acute;t. you can&acute;t say: &acute;stop being gay and have a baby.&acute; even gays can have babies. not with each other but they can still have an artificial insemination (sp?) so in short, i don&acute;t really see your logic. also take into consideration that heterosexual males who have had a vasectomy cannot breed as well. should they be denied their right for marriage as well?",3,,,
"&acute;&acute; you probably don&acute;t give a crap because you cant afford them. :lol: i don&acute;t find being poor and broke as a mutha****** funny. oh, but you&acute;re probably already used to feelin like that. i&acute;m not interested in shoes, so i&acute;m broke? you have a twisted sense of reality. tbh i can&acute;t think of anything more boring than shoes. how the hell are shoes boring? you don&acute;t like lookin good? sorry, i don&acute;t look at people&acute;s or my own feet, i have self confidence.",3,,,
"its a pay-and-go phone, not much to see. dunno the product name, and don&acute;t feel like looking for a picture, its my first phone (i&acute;m 15, was 14 when i got it), have had it since april. two people use cingular -- me, and my brother who goes to school in newark. everyone else in my family pretty much uses verizon. my mother plans on getting new phone soon, and she might add me to the current plan. i sure as hell hope so.",2,,,
"&acute;&acute; that and legalizing something validates it. that&acute;s why there is so much of a fight over gay marriage. no one&acute;s getting hurt, but the idea of something &acute;offensive&acute; to them being made &acute;acceptable&acute; can be hard to accept. the best solution to prostitution is to legalize it, but only in brothels. that way not only can the gov&acute;t control the health and criminal aspects of it, but can also zone it so that expensive neighborhoods aren&acute;t brought down by the houses of ill-repute.",1,,,
"&acute;&acute; easier said than done, though. i&acute;m an atheist, my parents are agnostics/atheists, but hell still freaks me out sometimes. you&acute;re not an atheist then. yes i am, and i don&acute;t believe for one minute it actually exists, i just sometimes get a random, superstitious fear of it (which rationally, i know is ridiculous) for an hour or so. it&acute;s no different than any number of irrational worries or concerns caused by my ocd (though i don&acute;t claim that it has the same cause).",2,,,
"those videos used to deeply disturb me. some still do. there are two in particular i can remember, one was a beheading, and the other was some peta video. the first, the knife was stuck back into his neck and sawn through the front. the peta one, russian trapper/traders were skinning animals alive for their pelts. disgusting stuff. i can see being desensitized to it to a point, but if it doesn&acute;t rouse any sickness inside you... *i believe* there&acute;s something wrong with you.",3,,,
"come accross some more bugs. sometimes shots don&acute;t do the right damage, sometimes they do none. i shot someone in the head three (3) times with an sv98 then he ran and i hit him in the leg and he still wasn&acute;t dead. sometimes flares in the attack heli don&acute;t work. if you have a missile chasing you and you deploy the flares, the missile will sometimes ignore the flares and continue pursuing your vehicle and eventually hit you. (this is not soflam related.)",2,,,
"[quote=&acute;predatorrules&acute;][quote=&acute;testfactor888&acute;][quote=&acute;predatorrules&acute;] waste of money - just get guild wars goty - money wise in your opinion it is a waste of money. in my opinion guild wars was incredibly boring hmm yeah well lets not start an gw vs. wow arrgument here because everytime gw eventually won the battle but anyhow if you found gw to be boring that your opinion, i&acute;m just saying gw would be a much cheaper solution :) what if you want an mmo. guild wars isn&acute;t the solution then.",3,,,
"&acute;&acute; :| lol, the fact that i would be with her for the whole party, and i wouldnt be drinking so i could keep an eye on her, should be enough to prove that she ain&acute;t getting date raped >.> plus, if anyone would touch her i would pull out my pocket knife or punch em a few times :| btw guys, i would be attending a party with underage drinking, but i wouldn&acute;t be drinking and i don&acute;t/never have done/never will/ do drugs.",3,,,
"[quote=&acute;crunchy_nuts&acute;][quote=&acute;-unreal-&acute;][quote=&acute;crunchy_nuts&acute;] britain is great britain, he is wrong. you have a union jack avatar and yet you think i&acute;m wrong? astounding. britain and great britain are technically two different things. i&acute;m not wrong, you&acute;re wrong my friend. you have a source for that. britain has always been used as a shorthand way of saying great britain. http://www.woodlands-junior.kent.sch.uk/customs/questions/britain/britain.htm why would i lie about something like this? britain is england and wales. great britain is the island (wales, england and scotland)3 years, 13 days ago",3,,,
"&acute;&acute; i&acute;m not saying he should be worried, but there is a lot of hassle he will have to go through in these elections just to be re-elected again. like i said, we shouldn&acute;t just be doing a clean slate for the hell of it. and with people like yourself and a few others running for election, someone is bound to lose their place (not saying it&acute;ll be you jecht but the chances have grown higher for every officer).8 years, 1 month ago",2,,,
&acute;&acute; looks like someone&acute;s a little late to the pa- oh in the first paragraph it clearly says he has been channeled for over 30 years... just thought i point that out. some of what i remember of what him saying about 2012 was that the world was not going to end. if it were going to end then he would not be having these discussions with us because it would be a waste of time and engergy. his words not mine btw.,2,,,
"[quote=&acute;masterbolt360&acute;][quote=&acute;_en1gma_&acute;][quote=&acute;masterbolt360&acute;] i cried. alot. i honestly don&acute;t get it. how the hell do you not get it? a baby that had lower than a 10% chance to live, lived for 3 months, with a deadly disease, and all of a sudden it dies, when you had so much hope for him. that was really hard to understand. it was moving, but not sad. and i don&acute;t understand the god part. i guess it&acute;s depressing that they are thanking their god after that happened...",2,,,
"&acute;&acute; gay marriage will not make the country go to hell...get your head out of your ass--if you say something is wrong, that does not make it wrong. it&acute;s disgusting, it&acute;s vile, it&acute;s an atrocity to mankind. if you think it&acute;s okay for two guys to bone, you need to get your head out of your ass. i blame your parent&acute;s inability to accept difference for your bigotry. 10k post party! silly, i already posted it :p it&acute;s about a page back ^_^",3,,,
yeah playing as barb is the hardest vs duri....he&acute;s got that massive hit so when u 2 go head to head it&acute;s forsure that you&acute;ll loose...if ur online..try and find a sorc to use fire on him while u let him chase u. otherwize...if your single player and its just you and him. mass potions and go for it...its even harder cause he has cold aura so ur hits are slower and its harder to run away to use pots....its a hard one...,2,,,
yeah playing as barb is the hardest vs duri....he&acute;s got that massive hit so when u 2 go head to head it&acute;s forsure that you&acute;ll loose...if ur online..try and find a sorc to use fire on him while u let him chase u. otherwize...if your single player and its just you and him. mass potions and go for it...its even harder cause he has cold aura so ur hits are slower and its harder to run away to use pots....its a hard one...,2,,,
"&acute;&acute; i just did it cause i thought it was amazingly sweet of you to post that in your blog. eh, just the honest truth. as someone said earlier, i don&acute;t see why women are allowed to hit men, but if a man even lays a finger on a woman, it&acute;s battery and a domestic violence charge. neither should be allowed to hurt eachother. i&acute;ve seen women viciously punch men and they don&acute;t get in trouble. it&acute;s just wrong.8 years, 17 days ago",2,,,
"&acute;&acute; thats almost an mmo, but not quite. seems like an mmo for consoles now is a no brainer, but the communication may lack. tough to type with no keyboard, plus for us sony kids, our bluetooth headsets need to be charged. plus you can just imagine all the &acute;not kool&acute; kids swearing away and abusing the mic. still an mmo fps, sounds good, even if it is halo gun play, that would kick ass, questing around with a freakin sub machine gun!",3,,,
"&acute;&acute; when have i ever called glenn beck a libertarian? chances are it would take me a few hours to find a quote, and that would be an extreme waste of my time. out of curiosity i searched &acute;glenn beck libertarian&acute; to see what posts would come up (a search that took me a few seconds, not a few hours), and one of the very first posts that pops up is from me 3 years ago saying that glenn beck isn&acute;t a libertarian.",2,,,
i know many people aren&acute;t gona play this game in fps view but i need it to aim and is it me or does the gun in fps view look really bad and under-detailed. cuz all i saw for the p90 were rectangles and it made it look like some old shooter gun. and also i hope it gets fixed. what do you think. cuz if it doesn&acute;t get fixed you know how lemmings and sheep are. they&acute;ll start talking s**t about it,3,,,
"&acute;&acute; a hand full of developers pull this with console orientated games and pc gaming is in trouble? get back into your proper section console troll. wish any of all these you said made any sense but iv seen your previews posts and claims being proved wrong, you are a pc snob and a total console hater, so i dont like console either but i dont lie about the facts. i thought you told me you don&acute;t even own a next gen console.",3,,,
"&acute;&acute; i never said they were unequal. i am just saying they were given different roles. as to &acute;what else they cannot do&acute;, as you put it, i do not believe they should hold governmental positions or fire protection positions (firefighters), and, if they&acute;re married, should not work outside the home unless it is needed. in christ, crushmaster. in other words, they&acute;re &acute;separate&acute; but equal.>_> hell, it&acute;s not even equal. he just wants individuals of the fairer sex in the kitchen all day.",3,,,
"&acute;&acute; jfk the worst? really? you do realize that nixon committed some horrendous acts during vietnam, right? it was the colonel fault for mai lai, nixon wasn&acute;t bad besides watergate. look who got us in vietnam. lbj was the one who got us so entwined in the vietnam war. now did jfk do a lot during his administration to achieve peace in that region of the world? hell no, but he didn&acute;t turn it into the hell hole that it was during lbj.",3,,,
"imo one of the better strategy games to come along. it starts off slow, your units appear very small and you think = wtf? but as soon as you start upgrading, you&acute;ll notice where the excitement is. there is no real unit cap so you can keep building untill your army is amazing. the ammount of tactical decissions you can make is amazing, i recommend everyone to learn this game by playing against an easy opponent in skirmish and fire some nukes! :)",1,,,
currently subscribe to gameinformer have been for 10 years almost and same with nintendo power was subscribed to it anyway not sure how to resubscribe though without using a credit card online. so i&acute;ll just buy them at the stores at least till they hit issue 300 then think i might be done and i occasionally get horse illustrated and prophecy in the news guess that is about all i get thinking of ending gameinformer at 10 years as well not sure yet,2,,,
"honestly, can dc afford to cut off their best super hero? screw superman, what a stupid super hero, is only weakness is kryptonite so that means he will always and will only ever be defeated by kyrptonite. boring. thats why the movies suck because we all know how it will happen. kryptonite, doesnt matter how it varies, we just know kryptonite will be involved. it will be the same thing as always though, they&acute;ll kill him and then bring him back some how",3,,,
"we already playing 08 games now, madden 08, ncaa 08,nba live 08.....wow i remember being excited for the 02/03 games, i remember playing them like it was yesterday....so much fun with my friends playing on the same madden team doing a franchise. it just hit me that all this time has went by... anybody else think like that?? i dont think of 2002 being 5 years ago...it feels like last year...and i really really dont think of the 90&acute;s as 10 years ago....",1,,,
"&acute;&acute; i think it&acute;s 1 hour more, 3 pm now or 2:36 pm when you posted (jp is gmt+9 and it&acute;s now 6 am gmt) i was just going by the world clock on my phone.. or, you could just google &acute;tokyo time&acute; and google will tell you as the first result exactly what time it is alone with date ect. or, i could just flip open my phone and hit a button. and yeah, it&acute;s currently 2:53 pm.8 years, 13 days ago",2,,,
"although the full jp-version game will most likely contain english voice-overs, the text will be entirely in japanese, so unless you can understand it, you&acute;ll have no idea what&acute;s going on or what you have to do in-game. the demo was fantastic, but in no point in time did i understand what the hell was going on or why.. i&acute;d say to just stick with the demo until the us version releases in a few months, unless, of course, you can read japanese.",2,,,
"&acute;&acute; you can describe any mmo that way. wow is one hell of a game. it didn&acute;t get 12 million subs by being boring and repetitive (it only got like a million or so from that :p ) no reason you shouldn&acute;t play it again especially with cataclysm. cataclysm made leveling a lot more fun. and justin bieber didn&acute;t get all of those fans by making horrible music. haha, yeah... personally, i would never use popularity as a measurement of quality. terrible comparison.",3,both pos and neg,,
"&acute;&acute; sure they do. if you want them too. that just isn&acute;t true, are you saying people who are sexually attracted to children choose to be that way? they&acute;re living in hell trying to control their urges and you&acute;re saying you can just wish them away :lol: no. lol, clearly you didn&acute;t know jeffrey dahmer chose to be that way...he enjoyed what he did. you can&acute;t &acute;live in hell trying to control your urge&acute; if you enjoy it and continue to do it.",3,,,
